site,name,country,sar_avail_pct,sar_up_seconds,sar_down_seconds,dcups_avail_pct,dcups_up_seconds,dcups_down_seconds,orion_active_pct,orion_avg_bytes_per_s,orion_max_bytes_per_s
NOHA,NOHA0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
NOKR,NOKR0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
NOKU,NOKU0xNOR,NOR,100.000,2585460,0,,,,0.028,0,0
NOLF,NOLF0xNOR,NOR,100.000,2585460,0,,,,0.009,0,0
NONO,NONO0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
NOPG,NOPG0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
NORO,NORO0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
NOSE,NOSE0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
NOSV,NOSV0xNOR,NOR,100.000,2585460,0,,,,0.009,0,0
NOTR,NOTR0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
NOVA,NOVA0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
NOVI,NOVI0xNOR,NOR,100.000,2585460,0,,,,0.000,0,0
PRAC,PRAC0xPRT,PRT,100.000,2585460,0,,,,0.000,0,0
PRBR,PRBR0xPRT,PRT,100.000,2585460,0,,,,0.000,0,0
PRGU,PRGU0xPRT,PRT,100.000,2585460,0,,,,0.000,0,0
PRLA,PRLA0xPRT,PRT,100.000,2585460,0,,,,0.009,0,0
PRLB,PRLB0xPRT,PRT,100.000,2585460,0,,,,0.000,0,0
PRLE,PRLE0xPRT,PRT,100.000,2585460,0,,,,0.009,0,0
PRMA,PRMA0xPRT,PRT,100.000,2585460,0,,,,0.039,0,0
PRMD,PRMD0xPRT,PRT,100.000,2585460,0,,,,0.009,0,0
ROBC,ROBC0xROU,ROU,99.977,2584860,600,100.000,311340,0,0.065,0,0
ROBO,ROBO0xROU,ROU,100.000,2585460,0,100.000,2587380,0,0.000,0,0
ROBR,ROBR0xROU,ROU,100.000,2585460,0,100.000,2587440,0,0.028,0,0
RODE,RODE0xROU,ROU,99.977,2584860,600,100.000,2587740,0,0.000,0,0
ROMA,ROMA0xROU,ROU,100.000,2585460,0,100.000,2588640,0,0.009,0,0
RONA,RONA0xROU,ROU,0.000,0,2585460,0.000,0,0,0.000,0,0
ROSG,ROSG0xROU,ROU,100.000,2585460,0,99.870,2583780,3360,0.536,0,0
ROSI,ROSI0xROU,ROU,100.000,2585460,0,99.597,2579460,10440,0.373,0,0
ROTM,ROTM0xROU,ROU,100.000,2585460,0,100.000,2588400,0,0.009,0,0
ROTU,ROTU0xROU,ROU,99.977,2584860,600,100.000,2587800,0,0.649,0,0
SVBB,SVBB0xSVK,SVK,100.000,2585460,0,,,,0.000,0,0
