account,site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ALL,GRCH,GRCH0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRFO,GRFO0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,28800,0,
ALL,GRHK,GRHK0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRIG,GRIG0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRKE,GRKE0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRKL,GRKL0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRKV,GRKV0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRLB,GRLB0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRNX,GRNX0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GROS,GROS0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRPS,GRPS0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRRO,GRRO0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRSA,GRSA0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRTA,GRTA0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,GRVO,GRVO0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,HRLA,HRLA0xHRV,HRV,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,HRPL,HRPL0xHRV,HRV,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,HRSB,HRSB0xHRV,HRV,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,HRVV,HRVV0xHRV,HRV,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,HUBU,HUBU0xHUN,HUN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,HUNY,HUNY0xHUN,HUN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,HUSZ,HUSZ0xHUN,HUN,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,HUVE,HUVE0xHUN,HUN,EU,0.000,0,86460,0,offline-entire-window,0,86460,0,0,
ALL,IABE,IABE0xUSA,USA,NA,70.507,60960,25500,0,stable,60960,25500,0,0,
ALL,IACE,IACE0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IADU,IADU0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IAFD,IAFD0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IAFM,IAFM0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IAGM,IAGM0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IAHL,IAHL0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IDBU,IDBU0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IDCL,IDCL0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IDNP,IDNP0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IDPO,IDPO0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IDRY,IDRY0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ILAS,ILAS0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ILCY,ILCY0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ILRO,ILRO0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ILSL,ILSL0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ILTV,ILTV0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,INFN,INFN0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,INFW,INFW0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,INSG,INSG0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,INVO,INVO0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IRBA,IRBA0xIRL,IRL,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IRCO,IRCO0xIRL,IRL,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IRDU,IRDU0xIRL,IRL,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IREN,IREN0xIRL,IRL,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IRLD,IRLD0xIRL,IRL,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,IRWA,IRWA0xIRL,IRL,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITAL,ITAL0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITAN,ITAN0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ITAP,ITAP0xITA,ITA,EU,100.000,86460,0,0,stable,86460,0,0,0,
